epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1080.93,3.56492,1.90787,1.09396,0.21927,0.08036,0.04768,0.01648,3.39145,1.598,0.96168,0.000666238,0.000666238,0.000666238
2,2374.01,3.33725,1.65907,0.98466,0.24079,0.08257,0.05349,0.01829,3.35137,1.51543,0.95573,0.00131971,0.00131971,0.00131971
3,3509.18,3.24881,1.62311,0.96396,0.28222,0.09778,0.06743,0.02591,3.14873,1.5026,0.9134,0.00195998,0.00195998,0.00195998
4,1170.12,3.22685,1.6104,0.96136,0.2907,0.10032,0.06961,0.02603,3.10226,1.46356,0.92024,0.0019406,0.0019406,0.0019406
5,2215.17,3.12919,1.52577,0.94028,0.27304,0.09492,0.06346,0.02379,3.21131,1.45967,0.92682,0.0019208,0.0019208,0.0019208
6,3288.19,3.08929,1.50782,0.93426,0.29751,0.10443,0.07461,0.02817,3.05749,1.41195,0.90303,0.001901,0.001901,0.001901
7,979.691,3.0615,1.4933,0.93375,0.3001,0.10738,0.07541,0.028,3.07773,1.41212,0.89737,0.0018812,0.0018812,0.0018812
8,2247.76,3.02751,1.45326,0.92264,0.3048,0.10885,0.07648,0.02865,3.06709,1.36885,0.89193,0.0018614,0.0018614,0.0018614
9,3303.87,2.97585,1.42977,0.91473,0.31089,0.11014,0.08028,0.02963,3.03491,1.37896,0.89307,0.0018416,0.0018416,0.0018416
10,4736.79,3.00283,1.44286,0.91888,0.32247,0.11775,0.08442,0.03312,2.9612,1.36425,0.87959,0.0018218,0.0018218,0.0018218
11,5863.63,3.00243,1.45087,0.91605,0.33575,0.11365,0.08248,0.03295,2.94587,1.44007,0.87486,0.001802,0.001802,0.001802
12,1204.73,2.95981,1.43318,0.91547,0.33051,0.1182,0.08778,0.03408,2.93975,1.35204,0.88442,0.0017822,0.0017822,0.0017822
13,2452.27,2.92566,1.39357,0.9041,0.32831,0.11674,0.08477,0.03262,2.9734,1.34859,0.87701,0.0017624,0.0017624,0.0017624
14,3691.61,2.90843,1.38248,0.90337,0.33316,0.12042,0.09077,0.03666,2.90822,1.31988,0.87368,0.0017426,0.0017426,0.0017426
15,4886.27,2.91767,1.38394,0.90551,0.32942,0.11782,0.08613,0.03492,2.89652,1.34313,0.87418,0.0017228,0.0017228,0.0017228
16,5826.75,2.90765,1.39093,0.9013,0.34337,0.11824,0.08993,0.0365,2.89341,1.37799,0.8702,0.001703,0.001703,0.001703
17,6853.82,2.91754,1.38679,0.90262,0.34662,0.11912,0.09071,0.03776,2.8591,1.36293,0.86821,0.0016832,0.0016832,0.0016832
18,7844.4,2.87806,1.41708,0.90223,0.349,0.11977,0.09117,0.03684,2.86082,1.33922,0.87998,0.0016634,0.0016634,0.0016634
19,8872.42,2.87476,1.3997,0.90086,0.34928,0.12514,0.09392,0.03733,2.87143,1.30578,0.86533,0.0016436,0.0016436,0.0016436
20,9875.49,2.88773,1.39551,0.89972,0.33498,0.12326,0.09012,0.03584,2.8551,1.30206,0.86881,0.0016238,0.0016238,0.0016238
21,10708.6,2.86281,1.36046,0.90008,0.34686,0.12484,0.09308,0.03672,2.87548,1.3026,0.85957,0.001604,0.001604,0.001604
22,11538.5,2.88964,1.35995,0.89485,0.35765,0.12406,0.0953,0.03896,2.8523,1.29749,0.86302,0.0015842,0.0015842,0.0015842
23,12373.7,2.85232,1.34922,0.89959,0.35947,0.12705,0.09577,0.03931,2.8329,1.28024,0.85726,0.0015644,0.0015644,0.0015644
24,13215,2.84278,1.36357,0.88864,0.35231,0.12682,0.09551,0.03946,2.82573,1.30103,0.85689,0.0015446,0.0015446,0.0015446
25,14052.5,2.83635,1.35118,0.88991,0.34671,0.12593,0.09414,0.03936,2.81164,1.30548,0.85882,0.0015248,0.0015248,0.0015248
26,14891.4,2.82917,1.39184,0.89347,0.35389,0.12555,0.09505,0.03953,2.81394,1.31287,0.86132,0.001505,0.001505,0.001505
27,15741.8,2.82573,1.32558,0.88734,0.35854,0.12706,0.09849,0.04042,2.80536,1.29382,0.85584,0.0014852,0.0014852,0.0014852
28,16579.2,2.80057,1.3113,0.8898,0.35939,0.1257,0.09616,0.03985,2.81414,1.28804,0.85762,0.0014654,0.0014654,0.0014654
29,17412,2.77911,1.35182,0.89254,0.36215,0.12739,0.09829,0.03978,2.80675,1.27851,0.85598,0.0014456,0.0014456,0.0014456
30,18249.2,2.8096,1.32074,0.88437,0.36204,0.12728,0.09899,0.04104,2.80097,1.27567,0.85303,0.0014258,0.0014258,0.0014258
31,19092,2.81588,1.35142,0.88444,0.35723,0.13039,0.10051,0.042,2.78854,1.2592,0.85078,0.001406,0.001406,0.001406
32,19931,2.77902,1.31364,0.88762,0.36591,0.12879,0.10018,0.04104,2.77883,1.26772,0.8543,0.0013862,0.0013862,0.0013862
33,20768.3,2.79919,1.31797,0.87803,0.36473,0.129,0.1011,0.04199,2.77922,1.28112,0.85638,0.0013664,0.0013664,0.0013664
34,21601.6,2.75784,1.29676,0.88821,0.3607,0.13037,0.10106,0.0418,2.80149,1.25379,0.85244,0.0013466,0.0013466,0.0013466
35,22443.8,2.78128,1.34448,0.89121,0.36504,0.13054,0.10036,0.04078,2.76321,1.26822,0.85035,0.0013268,0.0013268,0.0013268
36,23286.3,2.76044,1.29525,0.88342,0.37222,0.13029,0.10201,0.04248,2.76508,1.26088,0.84989,0.001307,0.001307,0.001307
37,24133.9,2.76901,1.30341,0.88664,0.36672,0.13188,0.10277,0.04232,2.74855,1.24321,0.84845,0.0012872,0.0012872,0.0012872
38,24967.5,2.75281,1.28629,0.88205,0.37533,0.13114,0.10292,0.04301,2.75869,1.25532,0.84699,0.0012674,0.0012674,0.0012674
39,25807.6,2.77028,1.29798,0.88256,0.3634,0.13174,0.10116,0.04229,2.74823,1.25389,0.85346,0.0012476,0.0012476,0.0012476
40,26647,2.73674,1.28304,0.88355,0.37375,0.1333,0.10298,0.04296,2.74453,1.2371,0.84738,0.0012278,0.0012278,0.0012278
41,27490.3,2.72232,1.27543,0.88035,0.37087,0.13071,0.10271,0.0441,2.73577,1.25192,0.8494,0.001208,0.001208,0.001208
42,28327.9,2.71038,1.28657,0.88192,0.36888,0.13091,0.10211,0.04313,2.74163,1.25124,0.85081,0.0011882,0.0011882,0.0011882
43,29162,2.72474,1.28005,0.88021,0.37653,0.13146,0.10285,0.04248,2.73437,1.26578,0.84469,0.0011684,0.0011684,0.0011684
44,30000.1,2.75945,1.29417,0.8777,0.37776,0.13416,0.10435,0.04395,2.73418,1.23528,0.84392,0.0011486,0.0011486,0.0011486
45,30874.4,2.71483,1.25999,0.87569,0.37387,0.13244,0.10362,0.04383,2.71515,1.25143,0.84672,0.0011288,0.0011288,0.0011288
46,31783.2,2.72834,1.2775,0.87567,0.37893,0.13372,0.10496,0.04422,2.73213,1.2235,0.84733,0.001109,0.001109,0.001109
47,32696.4,2.73366,1.33546,0.87656,0.37544,0.13223,0.10376,0.04381,2.71551,1.24354,0.84798,0.0010892,0.0010892,0.0010892
48,33612,2.71138,1.2715,0.8751,0.37514,0.1351,0.10448,0.04415,2.73887,1.23302,0.84524,0.0010694,0.0010694,0.0010694
49,34653.6,2.71718,1.27304,0.87174,0.38536,0.13563,0.10558,0.04416,2.72419,1.21495,0.8429,0.0010496,0.0010496,0.0010496
